"tweet_id","username","full_name","full_text","view_count","bookmark_count","favorite_count","reply_count","retweet_count","quote_count","is_quote_status","lang","bookmarked","favorited","retweeted","created_at","user_mentions","can_dm","can_media_tag","bio","website","followers_count","following_count","media_count","statuses_count","favourites_count","listed_count","fast_followers_count","normal_followers_count","followed_by","following","location","profile_banner_url","profile_url","avatar_url","verified","is_blue_verified","user_created_at"
"1293716451522560000","Slasher","Rod Breslau","if Riot never rescinded their LEC NEOM sponsorship I don't see BLAST ever doing the same. Riot employees, LoL casters, and CSGO casters deserve all the praise for standing up for their beliefs, not to the executives who signed off on the deal to begin with https://t.co/M7WnV8uwas",0,2,984,6,46,1,false,"en",false,false,false,"2020-08-13","",true,true,"world's #1 certified gaming insider esports consultant master of the metaverse internet culture expert

SIGNAL: 919-SLASHER / SlasherRB@protonmail.com","http://www.facebook.com/Breslau",375985,16314,3297,46454,51254,1543,0,375985,,true,"Manhattan, NY","https://pbs.twimg.com/profile_banners/19040580/1579815605","https://www.twitter.com/Slasher","https://pbs.twimg.com/profile_images/1302273661836161025/hVtAOayY_normal.jpg",false,false,"2009-01-15"
"1288667916087562240","JacobWolf","Jacob Wolf","Crazy how much reputation the #LEC lost for partnering with NEOM in the first place. It was arguably the most respect pro league by Western fans in the League of Legends space — as the #LCS has struggled to catch up — but seems a lot of that flew out the window today.",0,3,1505,28,50,4,true,"en",false,false,false,"2020-07-30","",false,true,"award-winning investigative reporter, filmmaker and podcaster • listen to ‘Visionaries’: https://t.co/NY51wkhpSi • founder and ceo @overcome • formerly @espn","https://www.patreon.com/JacobWolfMikhailKlimentov?utm_source=twitter&utm_medium=social",79031,4721,8205,73552,73647,613,0,79031,,true,"Austin, TX","https://pbs.twimg.com/profile_banners/336548480/1682113515","https://www.twitter.com/JacobWolf","https://pbs.twimg.com/profile_images/1345823330016915457/RUEHo1m-_normal.jpg",false,true,"2011-07-16"
"1288953507492618242","JacobWolf","Jacob Wolf","Regarding speculation that #LEC teams having voting power in league-wide sponsorships, they do not, sources told ESPN. Teams were notified of the NEOM deal but did not have a say for or against. 

https://t.co/d1cWqwVvSK",0,1,248,5,20,6,false,"en",false,false,false,"2020-07-30","",false,true,"award-winning investigative reporter, filmmaker and podcaster • listen to ‘Visionaries’: https://t.co/NY51wkhpSi • founder and ceo @overcome • formerly @espn","https://www.patreon.com/JacobWolfMikhailKlimentov?utm_source=twitter&utm_medium=social",79031,4721,8205,73552,73647,613,0,79031,,true,"Austin, TX","https://pbs.twimg.com/profile_banners/336548480/1682113515","https://www.twitter.com/JacobWolf","https://pbs.twimg.com/profile_images/1345823330016915457/RUEHo1m-_normal.jpg",false,true,"2011-07-16"
"1625140182499352576","NOHEATED","NOHEATED🇺🇦","@MShadov @erasus_dk @MmX_A_ @G2esports @CarlosR @HooXiCSGO New CEO not better tbh. The guy was responsible for the LEC Neom deal","46",0,0,1,0,0,false,"en",false,false,false,"2023-02-13","MShadov; erasus_dk; MmX_A_; G2esports; CarlosR; HooXiCSGO",true,false,"","",92,1673,567,5509,51220,1,0,92,,,"Ukraine, Dnipro","https://pbs.twimg.com/profile_banners/2415687317/1671117156","https://www.twitter.com/NOHEATED","https://pbs.twimg.com/profile_images/1513801011625873410/UTY6PpfA_normal.jpg",false,false,"2014-03-16"
"1288994390552252418","MShent1238","Shent🐀","@iiLoVE18 @PoliticsAndMem2 @VewNizion @BGBFG14 @Kalytis_ @LEC @NEOM When u try to logically engage fundamentally illogical argument = u lost

When you waste your time on homophobes = u lost",0,0,0,1,0,0,false,"en",false,false,false,"2020-07-31","iiLoVE18; LEC; NEOM",true,true,"what it says on the tin","",73,576,112,8161,73445,0,0,73,,,"","https://pbs.twimg.com/profile_banners/841756176639492099/1522094254","https://www.twitter.com/MShent1238","https://pbs.twimg.com/profile_images/978360163366264833/Z4jE2_Fp_normal.jpg",false,false,"2017-03-14"
"1288613638945660933","Lexandviolets","🖤heathen burger gf🖤","@Tweeb1999 @Fenstick @TehHero117 @LEC @NEOM Not supporting any side. That's the easy way out. Some if us don't have a choice. You can try and play both sides then.",0,0,2,0,0,0,false,"en",false,false,false,"2020-07-30","Fenstick; TehHero117; LEC; NEOM",false,true,"✨she/her♀️Reploid chef🍔feel-good anime🖼️non-stop gaming👾slut 4 SAtAN😈🍆💦😍queer af🌈🏳️‍⚧️🦄Domme💜⛓✨","",37,268,90,929,1773,0,0,37,,,"Nowhere, CO","https://pbs.twimg.com/profile_banners/889193719403995137/1650387447","https://www.twitter.com/Lexandviolets","https://pbs.twimg.com/profile_images/1429537288074129409/5Nt6_htm_normal.jpg",false,false,"2017-07-23"
"1334440632182562816","KappaChiino","Money (Taken)","@AfterLose @LEC @NEOM I went back to see the comments on this post, idk why, but man. You guys are sick in the head.",0,0,0,0,0,0,false,"en",false,false,false,"2020-12-03","LEC; NEOM",false,true,"Doing my own thing #alwaysfnatic 🟠⚫️ Banger tweets ONLY… I think ❤️Stef❤️","https://twitch.tv/kappaachiino",26,642,224,1138,14578,2,0,26,,,"Los Angeles, CA","https://pbs.twimg.com/profile_banners/867800070166650880/1630259553","https://www.twitter.com/KappaChiino","https://pbs.twimg.com/profile_images/1478079349765156867/54dIFxE1_normal.png",false,false,"2017-05-25"
"1400506808649850883","Geccobear","Gecco 🏳️‍🌈","I don't know if it's just me... but seeing all these orgs changing their icons to rainbow colors sometimes feels like a big ""fuck you"" considering the everyday discrimination they ignore. It's only big scandals like the LEC NEOM partnership that forces reactions.",0,0,12,1,1,0,false,"en",false,false,false,"2021-06-03","",true,false,"🦄 Ace | she/her | @DieWoeWe | Goaelfe 🧚 mit Frauenproblemen🍸 |  Rapperin | Moderatorin | Barbier | tba","",292,315,226,2550,1785,0,0,292,,,"Zamonien","https://pbs.twimg.com/profile_banners/4309673129/1672097378","https://www.twitter.com/Geccobear","https://pbs.twimg.com/profile_images/1603764199078887424/TYnSTTHh_normal.jpg",false,false,"2015-11-28"
"1573480441654693888","PrizeZepir","AM","@xghozin @Mayerdynn @Hughsie28 @LEC @NEOM you literally made all that up",0,0,0,0,0,0,false,"en",false,false,false,"2022-09-24","Mayerdynn; Hughsie28; LEC; NEOM",false,true,"","",0,29,9,474,13206,2,0,0,,,"",,"https://www.twitter.com/PrizeZepir","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",false,false,"2015-06-18"
"1309434719218667520","DariusExMachina","Darius","ngl, I think it‘s omegacringe how everyone was outraged at the #LEC NEOM deal, but no one bats an eye about the fact that PSG are sponsored by the state of Qatar, responsible for thousands of slave deaths within the last 5 years + having the same practice towards LGBTQ+ folk",0,2,554,61,42,12,false,"en",false,false,false,"2020-09-25","",true,true,"Manga, Yugioh, Esports. In that order. Working on a new venture. Previously @FellowKidsGG, @S04Esports and Founder @TheShotcallerGG. He/Him","",7757,1346,3894,46939,238231,52,0,7757,,,"Berlin, Germany","https://pbs.twimg.com/profile_banners/2780205828/1609155622","https://www.twitter.com/DariusExMachina","https://pbs.twimg.com/profile_images/1547897808522338305/6a91Wr3b_normal.jpg",false,false,"2014-08-30"
"1288989274474348545","IWDominate","Christian Rivera","Regarding the segment on the LEC and NEOM, I did not speculate on what the Talent team should/shouldn't do.  I simply asked if we lose one of our best casters (Frosk) because of the statements and then deferred to my co-host and his opinion as someone who works as a caster.",0,1,2137,37,25,3,false,"en",false,false,false,"2020-07-31","",true,true,"LCS Veteran and Streamer | Watch me at https://t.co/YMhOruIgnH and https://t.co/xNDXGDpaTg | Business Inquiries to IWDominate.business@gmail.com","http://www.YouTube.com/IWDominateLoL",288736,1044,2191,28103,6572,710,0,288736,,,"Austin, TX","https://pbs.twimg.com/profile_banners/431889730/1659436871","https://www.twitter.com/IWDominate","https://pbs.twimg.com/profile_images/1562498801939746816/ivGj72LY_normal.jpg",false,true,"2011-12-08"
